"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8619","Проверка заказа в работе","tests","Thu Mar 20 11:40:17 GMT+03:00 2025","passed","Thu Mar 20 11:40:25 GMT+03:00 2025","TestOrder","test_order","",""
"","4226","Проверки на странице ""Личный кабинет""","tests","Thu Mar 20 11:42:35 GMT+03:00 2025","passed","Thu Mar 20 11:42:39 GMT+03:00 2025","TestPersonalAccount","test_personal_account","",""
"","5833","Проверка создания заказа","tests","Thu Mar 20 11:40:07 GMT+03:00 2025","passed","Thu Mar 20 11:40:13 GMT+03:00 2025","TestOrder","test_order","",""
"","7733","Проверка счетчиков заказа","tests","Thu Mar 20 11:41:06 GMT+03:00 2025","passed","Thu Mar 20 11:41:14 GMT+03:00 2025","TestOrder","test_order","",""
"","5631","Проверка создания заказа","tests","Thu Mar 20 11:39:53 GMT+03:00 2025","passed","Thu Mar 20 11:39:59 GMT+03:00 2025","TestOrder","test_order","",""
"","3414","Проверки на страницах ""Конструктор"" и ""Лента заказов""","tests","Thu Mar 20 11:39:45 GMT+03:00 2025","passed","Thu Mar 20 11:39:49 GMT+03:00 2025","TestConstructorAndFeed","test_constructor_and_feed","",""
"","2972","Проверки на страницах ""Конструктор"" и ""Лента заказов""","tests","Thu Mar 20 11:39:34 GMT+03:00 2025","passed","Thu Mar 20 11:39:37 GMT+03:00 2025","TestConstructorAndFeed","test_constructor_and_feed","",""
"","2522","Проверка на странице ""Восстановление пароля""","tests","Thu Mar 20 11:42:43 GMT+03:00 2025","passed","Thu Mar 20 11:42:46 GMT+03:00 2025","TestRecoverPassword","test_recover_password","",""
"","2821","Проверка на странице ""Восстановление пароля""","tests","Thu Mar 20 11:42:54 GMT+03:00 2025","passed","Thu Mar 20 11:42:57 GMT+03:00 2025","TestRecoverPassword","test_recover_password","",""
"","9098","Проверка отображения заказов на странице «Лента заказов»","tests","Thu Mar 20 11:42:09 GMT+03:00 2025","passed","Thu Mar 20 11:42:18 GMT+03:00 2025","TestOrder","test_order","",""
"","9468","Проверка отображения заказов на странице «Лента заказов»","tests","Thu Mar 20 11:41:51 GMT+03:00 2025","passed","Thu Mar 20 11:42:00 GMT+03:00 2025","TestOrder","test_order","",""
"","4417","Проверки на странице ""Личный кабинет""","tests","Thu Mar 20 11:42:22 GMT+03:00 2025","passed","Thu Mar 20 11:42:27 GMT+03:00 2025","TestPersonalAccount","test_personal_account","",""
"","10326","Проверка счетчиков заказа","tests","Thu Mar 20 11:40:48 GMT+03:00 2025","passed","Thu Mar 20 11:40:58 GMT+03:00 2025","TestOrder","test_order","",""
"","8641","Проверка заказа в работе","tests","Thu Mar 20 11:40:34 GMT+03:00 2025","passed","Thu Mar 20 11:40:42 GMT+03:00 2025","TestOrder","test_order","",""
